ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G22150.4,GO:0008271,SULTR1;3,1,7818361,7821576,+,3215,protein_coding,Sulfate transporter 1.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FEP7],0.012164640977483425,0.174064767586178,1.8162792074427823,0.8952404474238755,0.9723184399680265,0.09611285046812136,0.03745073252940213,0.27384328817835085,-1.5503490697724414,0,0,-0,7
AT1G23090.1,GO:0008271,SULTR3;3,1,8184925,8189234,-,4309,protein_coding,Probable sulfate transporter 3.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SXS2],0.8560883482598878,0.9767773977848947,0.14665282248647016,0.520467470362072,0.8249389661674227,0.5184503100359394,0.9001236432634862,0.9773437111267989,0.10146578416268862,0,0,0,5
AT1G77990.1,GO:0008271,SULTR2;2,1,29317767,29323352,-,5585,protein_coding,Sulfate transporter 2.2 [Source:UniProtKB/Swiss-Prot;Acc:P92946],0.028835567732149455,0.2808712221166832,-0.42251893364423204,0.5452078394966193,0.8391318642704753,-0.11504907067505385,0.018005127178265315,0.18192664832201047,0.4379727850047898,0,0,0,4
AT1G78000.3,GO:0008271,SULTR1;2,1,29327515,29333220,+,5705,protein_coding,Sulfate transporter 1.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAX3],0.5940063200682238,0.9109115860851318,0.3704224314714541,0.05922113653741329,0.3060327936175979,1.2913293693955648,0.15041289908893396,0.5351424913164113,0.9871122717289339,0,0,0,5
AT1G78000.1,GO:0008271,SULTR1;2,1,29329329,29333212,+,3883,protein_coding,Sulfate transporter 1.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAX3],0.41317514924187143,0.8445661834165121,0.42171385415263685,0.2193774550346432,0.586579310876718,0.6321872472094084,0.8427232434222209,0.9621569169406498,0.10242041823021966,0,0,0,9
AT1G78000.2,GO:0008271,SULTR1;2,1,29329591,29333175,+,3584,protein_coding,Sulfate transporter 1.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAX3],0.47220472863492446,0.8697919809162142,-0.2842095786410857,0.9163762115026189,0.9796804330442195,0.04150875123340996,0.13455161953413322,0.5106560923966348,-0.5916096782757644,0,0,0,10
AT1G78000.6,GO:0008271,SULTR1;2,1,29329617,29333167,+,3550,protein_coding,Sulfate transporter 1.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAX3],0.7652560998587592,0.9571733012705728,0.12911731569497623,0.49738323571006055,0.811155942837035,-0.294730494278654,0.04532151422557587,0.30324392710846965,-0.8751853308894447,0,0,0,2
AT1G78000.7,GO:0008271,SULTR1;2,1,29330225,29333156,+,2931,protein_coding,Sulfate transporter 1.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAX3],0.8477151418832819,0.9746879911046962,-0.09028898031747837,0.2672940792540742,0.638192119761461,0.5211277239516644,0.4514211549883443,0.8058523818202363,-0.35418206018776405,0,0,0,5
AT3G12520.2,GO:0008271,SULTR4;2,3,3967816,3971921,-,4105,protein_coding,Probable sulfate transporter 4.2 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYH8],0.005615656103449997,0.10707974344025724,0.9310177956907084,0.4007013950896665,0.7492011635414253,-0.2854776524076891,0.004747411255250518,0.0788765331345421,-0.9679697354586562,0,0,0,7
AT3G12520.1,GO:0008271,SULTR4;2,3,3967816,3972135,-,4319,protein_coding,Probable sulfate transporter 4.2 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYH8],0.19316235209480076,0.6681409358695782,1.85632630876327,0.8942237126876448,0.9722076748625585,0.19155102933720003,0.9748300471834165,NA,0.04548001585685556,0,0,0,7
