ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_SynCom33_1,Flg22_SynCom33_2,Flg22_SynCom33_3,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,cl
AT4G35830.2,ACO1,4,16972598,16978057,-,5459,protein_coding,Aconitate hydratase [Source:UniProtKB/TrEMBL;Acc:A0A178V2T4],2.7625979464845534,0.9400509454986085,1.5377459377206828,8.321658304540449,2.930999933311362,7.122467336602791,1.0985092682811183e-4,0.00447426153786864,5.774067395929268,5
AT1G13609.1,,1,4662698,4663253,+,555,protein_coding,Defensin-like protein 287 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4N4],2.989757764903248,3.0615633034164675,2.265079909517326,9.378953399853692,3.2979520451024302,2.7242977287849475,1.2134167980133702e-4,0.004796922112381679,5.231209441741831,5
AT4G11393.1,,4,6932319,6932963,+,644,protein_coding,Putative defensin-like protein 202 [Source:UniProtKB/Swiss-Prot;Acc:Q2V3J6],4.661175041237853,1.5044637728747368,3.257813758397973,8.050162116233517,8.552249954096087,8.992920125608055,1.0266786838254826e-11,4.841960768174846e-9,5.0707588952687175,5
AT4G29450.1,,4,14478749,14482626,-,3877,protein_coding,Leucine-rich repeat protein kinase family protein [Source:UniProtKB/TrEMBL;Acc:Q9M0D8],4.286566976059075,0.9400509454986081,2.9377056350499657,7.686731358746233,8.332617621299816,8.126961429639058,2.5850880110907587e-15,2.1716354973169303e-12,4.989827915578338,5
AT5G24180.1,,5,8195600,8197119,+,1519,protein_coding,Gb [Source:UniProtKB/TrEMBL;Acc:Q9FIP1],1.1091829133441469,1.5044637728747368,0.9647332386523769,5.66405499314887,4.781650953190751,5.114796342005591,4.4706303880640896e-8,7.753515231737991e-6,4.785052019207772,5
AT1G33910.1,IAN5,1,12314904,12316258,+,1354,protein_coding,Immune-associated nucleotide-binding protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8U8],3.185968080546225,1.909115617155277,2.52569632892835,6.6044177374368624,7.526147615091738,7.0631985071123085,5.365817526021338e-10,1.7807889720309334e-7,4.74591231908755,5
AT4G12360.1,,4,7327992,7329192,-,1200,protein_coding,At4g12360 [Source:UniProtKB/TrEMBL;Acc:Q9STH5],3.1859680805462256,0,1.5377459377206828,5.296980078635509,6.249806806027069,6.761472046668537,2.5263701283352642e-5,0.0013775635251502753,4.51491519276126,5
AT1G44010.1,,1,16714622,16715564,+,942,protein_coding,F9C16.22 [Source:UniProtKB/TrEMBL;Acc:Q9LNZ6],2.4928626068883792,0.9400509454986085,1.5377459377206828,4.9555955295369705,5.497482078598995,6.225809654932527,1.5558558529096624e-8,3.3194061141204403e-6,4.3768042428388725,5
AT3G55970.1,JRG21,3,20766735,20769410,-,2675,protein_coding,JRG21 [Source:UniProtKB/TrEMBL;Acc:A0A178V764],1.7287776314278425,0,1.9467712125878611,4.855941890630502,5.599588989817443,4.860065165901868,2.096471458381629e-4,0.0073174372212063965,4.345528574030848,5
AT2G29250.1,LECRK32,2,12578909,12580780,-,1871,protein_coding,Putative inactive L-type lectin-domain containing receptor kinase III.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW11],2.160824389871925,0.9400509454986085,1.5377459377206828,6.2395019354207655,4.596479490847074,4.764073442307313,1.1186326899960613e-6,1.1096340949252443e-4,4.342882092884011,5
