ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_SynCom33_1,Flg22_SynCom33_2,Flg22_SynCom33_3,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,cl
AT5G56090.1,COX15,5,22714471,22716997,+,2526,protein_coding,Cytochrome c oxidase assembly protein COX15 [Source:UniProtKB/Swiss-Prot;Acc:Q9FKT8],10.214710642862217,10.276340779616215,9.814356496004889,9.335678347856874,8.985313377714435,8.998204052985278,2.690442802318926e-9,7.613103517046039e-7,-1.001266344820829,2
AT5G03240.3,UBQ3,5,771725,773515,-,1790,protein_coding,Ubiquitin 4 [Source:UniProtKB/TrEMBL;Acc:A0A1P8BGQ7],6.436883774460534,3.587743241883672,0,3.7469834489625717,3.8331710358903854,4.550502994795874,0.5189043966749287,0.8241902224350794,-1.0024386890235328,2
AT1G76520.1,PILS3,1,28714765,28717910,+,3145,protein_coding,Protein PIN-LIKES 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9K5],10.959598534469112,10.370445727706064,10.406392339084011,9.883191188233944,9.25153755838348,9.603183669397277,8.613749634365362e-7,8.940340450618134e-5,-1.0027919432229628,2
AT5G49480.1,ATCP1,5,20070489,20071682,+,1193,protein_coding,Calcium-binding protein CP1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FDX6],12.917795143964224,10.867669206372764,11.627309423622226,10.97440015300428,10.796020446841078,11.334679182466745,0.019148774876896743,0.1610591719013866,-1.0029401288689561,2
AT2G39710.1,,2,16561788,16563441,-,1653,protein_coding,Eukaryotic aspartyl protease family protein [Source:UniProtKB/TrEMBL;Acc:O22282],8.080207839344652,7.843797976398547,7.79308306665798,6.75031924217008,6.78575195738381,7.151212991728202,2.3126532687617885e-8,4.5378646110112705e-6,-1.0033786982561825,2
AT4G01870.1,,4,808376,810574,-,2198,protein_coding,tolB protein-related [Source:TAIR;Acc:AT4G01870],11.725328115952674,11.103967939120093,11.530841181357463,10.656728906614081,10.348937951446086,10.387516067909237,8.144790861998664e-4,0.01916477345365974,-1.0054138783762918,2
AT1G71910.2,,1,27064932,27066059,+,1127,protein_coding,At1g71910 [Source:UniProtKB/TrEMBL;Acc:Q9C8X0],6.0652784289275665,5.128790420168038,5.5150697275334455,4.748890560855317,5.3490229670249105,2.9151605692689775,0.18652729736605575,0.545028805678725,-1.0064682514461787,2
AT1G72930.1,TIR,1,27439240,27440464,+,1224,protein_coding,Toll/interleukin-1 receptor-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q9SSN3],4.661175041237853,5.306737305398032,4.102569480200593,4.748890560855317,3.2979520451024302,2.504278204367739,0.30571300778220006,0.6733001394292079,-1.0079489926117926,2
AT2G21100.2,DIR23,2,9048266,9049404,-,1138,protein_coding,Dirigent protein 23 [Source:UniProtKB/Swiss-Prot;Acc:Q84TH6],9.2159241925649,8.291505190903608,8.295126790237882,7.838034056852561,7.870537205929137,7.18867071115172,0.011124465692976655,0.11586512466431556,-1.008806029599119,2
AT1G72490.3,,1,27288900,27290532,-,1632,protein_coding,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G17400.1); Has 75 Blast hits to 75 proteins in 21 species: Archae - 0; Bacteria - 0; Metazoa - 3; Fungi - 4; Plants - 58; Viruses - 0; Other Eukaryotes - 10 (sourc /.../I BLink). [Source:TAIR;Acc:AT1G72490],6.684210330655132,6.9228647321562535,5.737244462358369,5.258470701736936,6.228716084475651,4.713571128295371,0.25337629979605286,0.6237990375599864,-1.0093883214301622,2
