ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,cl
AT2G43160.5,EPSIN2,2,17947829,17953267,+,5438,protein_coding,Clathrin interactor EPSIN 2 [Source:UniProtKB/Swiss-Prot;Acc:Q67YI9],0,5.966844131094119,4.930868871040826,8.711174573963348,0,7.800308101859769,0.1862911877275199,0.6615368229507556,2.8122049565623857,3
AT5G22370.3,EMB1705,5,7406222,7408754,+,2532,protein_coding,QQT1 [Source:UniProtKB/TrEMBL;Acc:A0A178UBM9],2.4928626068883792,0,2.9377056350499657,2.659793663825122,4.724007764471898,3.1296561776994576,0.16044742812053223,0.6227101752845412,1.778271500050422,3
AT3G06550.1,,3,2038978,2043169,-,4191,protein_coding,O-acetyltransferase family protein [Source:TAIR;Acc:AT3G06550],5.204542385499412,6.338386100190344,0,6.4458377744481705,7.724825713033389,6.084559105099063,0.2272252667075122,0.7035888376869545,1.6502680216548993,3
AT5G14090.2,LA1,5,4547202,4549675,+,2473,protein_coding,Protein LAZY 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5XV40],2.7625979464845534,2.2247762417604093,2.52569632892835,4.332703338683257,4.1105357690651685,3.1296561776994576,0.04441875442916831,0.3541344615140198,1.6090917878919107,3
AT1G17110.3,UBP15,1,5845675,5850889,-,5214,protein_coding,Ubiquitin-specific protease 15 [Source:UniProtKB/TrEMBL;Acc:F4I642],4.448254655523664,3.7928911420385325,4.930868871040826,6.64300958558754,5.906734002480958,4.044789892814435,0.16305855338828945,0.6265340382660324,1.4561534310231228,3
AT2G21940.1,SK1,2,9350543,9353231,+,2688,protein_coding,Shikimate kinase 1 [Source:UniProtKB/TrEMBL;Acc:F4IIJ2],1.109182913344147,7.154451387079071,0.9647332386523773,7.658742226458024,1.0123034224110756,7.569562661885197,NA,NA,1.4447518175332084,3
AT1G48210.6,,1,17798979,17802265,+,3286,protein_coding,Protein kinase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HWU0],2.989757764903248,2.70300674632173,0,4.0839179337471005,3.6074392270915814,2.285737111160617,0.4226159954994985,0.8481945605808625,1.3224517777536466,3
AT5G61330.1,,5,24657097,24661241,-,4144,protein_coding,rRNA processing protein-related [Source:TAIR;Acc:AT5G61330],3.1859680805462256,0,4.254166913077102,3.0784727421647258,5.233299377002432,4.480182688212185,0.2679206727472436,0.7445010523319939,1.32192482388301,3
AT5G19420.3,,5,6547638,6553251,-,5613,protein_coding,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein [Source:UniProtKB/TrEMBL;Acc:F4K148],4.846675056471126,0,5.0181973337008525,6.042140985679107,5.233299377002432,5.3132936614621045,0.15731550374928022,0.6184506190475386,1.2495390149165808,3
AT4G33240.1,FAB1A,4,16029246,16038324,-,9078,protein_coding,1-phosphatidylinositol-3-phosphate 5-kinase FAB1A [Source:UniProtKB/Swiss-Prot;Acc:Q0WUR5],2.1608243898719253,3.3485100352690864,7.436779592463025,6.042140985679107,8.532230698512171,2.5472436773954037,0.5740804895853923,0.9052820905612992,1.2468452461258728,3
