ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,cl
AT5G50200.2,NRT3.1,5,20436275,20437726,+,1451,protein_coding,High-affinity nitrate transporter 3.1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGS5],2.1608243898719253,0.9400509454986085,0,9.339498807899089,1.6013438573119074,5.762795581829901,7.889982183115587e-6,8.947623114625536e-4,7.363874483965759,7
AT1G08060.1,MOM,1,2501704,2511084,-,9380,protein_coding,ATP-dependent helicase family protein [Source:TAIR;Acc:AT1G08060],1.1091829133441469,0.9400509454986085,0,1.0453628119256622,7.738632625097764,6.312731749454802,2.3217896090150145e-4,0.011846201955941634,7.161829927852997,7
AT4G28420.2,,4,14055661,14057592,+,1931,protein_coding,Probable aminotransferase TAT1 [Source:UniProtKB/Swiss-Prot;Acc:Q67Y55],2.4928626068883792,1.909115617155277,2.265079909517326,7.604569009679749,7.3906777656830975,7.389512312399541,1.568074274588629e-14,1.3726040157969401e-11,5.571945483811491,7
AT1G23730.1,BCA3,1,8395509,8398387,+,2878,protein_coding,Beta carbonic anhydrase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUC2],1.7287776314278425,2.483617156311411,2.52569632892835,6.611962641753524,6.499963224319001,7.682755522434414,2.093538632332402e-10,1.0288089584256651e-7,5.048357655956003,7
AT3G53280.1,CYP71B5,3,19755689,19757613,+,1924,protein_coding,Cytochrome P450 71B5 [Source:UniProtKB/Swiss-Prot;Acc:O65784],3.895962952520956,2.89339559201044,3.5196335731144552,7.90913823255063,7.752308653542043,8.627155950744614,1.4283591022620999e-9,5.713563113319274e-7,4.792441245019365,7
AT5G45950.1,,5,18634041,18636720,+,2679,protein_coding,GDSL esterase/lipase At5g45950 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ41],1.7287776314278425,1.909115617155277,0,4.729729372252095,4.022983513303598,6.509696847311038,5.9573250899572865e-6,7.3023246798527e-4,4.7053257052955155,7
AT1G52000.1,JAL5,1,19333088,19336135,-,3047,protein_coding,Jacalin-related lectin 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU23],1.1091829133441469,0.9400509454986085,0,4.60913305096677,2.8283827040465024,4.2788490550450655,7.610640821925332e-4,0.028208708506255096,4.569681301203511,7
AT2G30670.1,,2,13069091,13070920,-,1829,protein_coding,Tropinone reductase homolog At2g30670 [Source:UniProtKB/Swiss-Prot;Acc:O49332],4.448254655523664,4.582850997235592,2.52569632892835,9.063584998616731,8.412447565282763,7.806566224698696,8.690054919905279e-13,6.2414648297812e-10,4.501326279368538,7
AT5G04120.1,IPSP,5,1119937,1121813,+,1876,protein_coding,Metal-independent phosphoserine phosphatase [Source:UniProtKB/Swiss-Prot;Acc:F4KI56],7.066971231945396,6.370775325014108,6.119409879444364,10.199094902392975,10.216774855433044,11.35604753638863,8.641297554164779e-8,2.1420476618558373e-5,4.137605738572118,7
AT2G41240.2,BHLH100,2,17198282,17199320,-,1038,protein_coding,BHLH100 [Source:UniProtKB/TrEMBL;Acc:A0A384LFW4],0,5.010433604218114,2.265079909517326,7.019369711025866,8.337309357895005,6.837651319837184,NA,NA,4.002673217557959,7
AT1G70260.1,,1,26456774,26459570,-,2796,protein_coding,WAT1-related protein At1g70260 [Source:UniProtKB/Swiss-Prot;Acc:F4I5D5],5.988472357686118,1.9091156171552772,4.575364531374196,8.89650418368487,7.3189687964664625,9.591300152512666,1.2013393089751627e-4,0.00722118355873461,4.000534590536121,7
