ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_SynCom35_1,Flg22_SynCom35_2,Flg22_SynCom35_3,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,cl
AT5G50565.1,,5,20580113,20582103,+,1990,protein_coding,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G50665.2); Has 6 Blast hits to 6 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 6; Viruses - 0; Other Eukaryotes - 0 (source: NC /.../nk). [Source:TAIR;Acc:AT5G50565],1.109182913344147,0,0.9647332386523773,5.778902306790421,1.0008787991312493,0.8744011171022851,0.01536278736494289,NA,4.7539228028965175,4
AT5G33355.1,,5,12599250,12599944,+,694,protein_coding,Defensin-like protein 207 [Source:UniProtKB/Swiss-Prot;Acc:Q3E8R5],3.512872752684049,0.9400509454986081,1.9467712125878611,6.4713503346168055,6.715985857098393,7.0515136415425435,5.605645124879485e-7,7.06076494315972e-5,4.551931434105178,4
AT2G24710.1,ATGLR2.3,2,10516880,10520549,-,3669,protein_coding,glutamate receptor 2.3 [Source:TAIR;Acc:AT2G24710],0,5.306737305398032,4.738550089003114,8.124058660195612,7.230564047102577,9.041053497148681,0.0014088089578390848,0.033524357970022456,3.8854435917368706,4
AT2G28860.1,CYP710A4,2,12388168,12389891,-,1723,protein_coding,Cytochrome P450 710A4 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZV28],3.779215365141232,2.2247762417604093,3.6346433676920804,7.317848729448427,6.796157109779057,6.977131504888812,5.923417367967962e-19,1.5833952782063692e-15,3.8486106733890186,4
AT4G10400.2,,4,6446088,6448022,-,1934,protein_coding,FBD-associated F-box protein At4g10400 [Source:UniProtKB/Swiss-Prot;Acc:Q9SV82],1.7287776314278425,1.5044637728747368,1.5377459377206828,2.0603810187887097,6.249661471356858,1.4149439973334308,NA,NA,3.725679834378985,4
AT4G27170.1,AT2S4,4,13613596,13614283,+,687,protein_coding,2S seed storage protein 4 [Source:UniProtKB/Swiss-Prot;Acc:P15460],2.7625979464845534,0,0.9647332386523769,4.831962947935394,4.171584506214837,4.448317747317949,0.0016413859070561498,NA,3.354382379182172,4
AT5G63160.3,BT1,5,25333214,25335549,-,2335,protein_coding,BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7],6.716320019090966,7.417348393363918,7.989552848152207,10.23344294523534,9.926567760305891,10.056714005759543,2.803342659625345e-10,1.1628072018149405e-7,2.6172367210550758,4
AT1G08210.4,,1,2577020,2580719,-,3699,protein_coding,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT1G08210],3.3586599662022834,3.693960568591336,3.6346433676920804,3.8817474188631054,4.393990864884719,7.374890726612908,0.002445877839287232,0.050250152909967746,2.608842217190466,4
AT5G63160.2,BT1,5,25333172,25335570,-,2398,protein_coding,BTB/POZ and TAZ domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMK7],6.252102112078317,6.305252988485069,7.7617938255552605,9.707394751553538,9.398359239126709,9.51686376841093,0.002074724127963548,0.044054468729520777,2.600243066927512,4
AT4G12550.1,AIR1,4,7439115,7439805,+,690,protein_coding,Putative lipid-binding protein AIR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7I2],9.747635609797983,8.60231845205415,9.432509311860038,11.561226904165823,12.064814616527807,11.971393985183639,1.583974840071355e-13,1.2702422234145552e-10,2.54806119624083,4
