ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_SynCom33_1,Flg22_SynCom33_2,Flg22_SynCom33_3,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,cl
AT4G15360.1,CYP705A3,4,8770180,8771960,+,1780,protein_coding,Cytochrome P450 like protein [Source:UniProtKB/TrEMBL;Acc:O23389],2.160824389871925,1.909115617155277,2.265079909517326,6.178931326632922,7.390290199806456,7.589612343097692,8.372707368339934e-19,9.734192458892546e-16,5.426132827823582,9
AT1G13609.2,,1,4662752,4663219,+,467,protein_coding,Defensin-like protein 287 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4N4],1.109182913344147,1.909115617155277,1.5377459377206832,7.380964910990263,2.108756609092234,1.9275902419719255,NA,NA,4.870512581476976,9
AT4G15370.2,BARS1,4,8773786,8779685,-,5899,protein_coding,Baruol synthase [Source:UniProtKB/Swiss-Prot;Acc:O23390],1.7287776314278425,2.70300674632173,0,0,6.601141229647739,6.442864492114037,0.0015516293855123908,0.0309428050009971,4.533433282418681,9
AT1G12030.1,,1,4064485,4066344,-,1859,protein_coding,At1g12030 [Source:UniProtKB/TrEMBL;Acc:O65376],1.7287776314278425,2.483617156311411,0.9647332386523769,7.335440397961203,2.705312230842695,2.2445593110416264,8.680405214913093e-4,0.020144308674591174,4.426600552427554,9
AT1G14550.1,PER5,1,4978922,4980466,+,1544,protein_coding,Peroxidase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9Q9],7.701444740318506,6.049201972030239,7.223669738778564,11.840689962168295,10.97528421753026,11.38999557936398,8.47043197564992e-33,2.8462769046177643e-29,4.3165628795918805,9
AT1G50050.2,,1,18546086,18547151,+,1065,protein_coding,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4I4X9]",1.1091829133441469,1.909115617155277,0,5.178223852651324,3.716812934722182,4.905767529132302,1.2294867980836385e-5,7.657646714140112e-4,4.267301862252344,9
AT1G67270.1,,1,25183019,25185939,-,2920,protein_coding,Zinc-finger domain of monoamine-oxidase A repressor R1 protein [Source:TAIR;Acc:AT1G67270],6.732110783544714,5.339836733502409,6.177473271310104,10.431861291079516,10.309304568396072,10.455359041861389,3.763426063404909e-57,5.058420971822538e-53,4.24075713368899,9
AT3G49110.1,PER33,3,18200587,18203265,+,2678,protein_coding,Peroxidase 33 [Source:UniProtKB/Swiss-Prot;Acc:P24101],2.762597946484554,1.909115617155277,1.9467712125878613,7.476332449098487,3.9408408551698906,4.366626272663022,8.16151809723499e-6,5.431892321615738e-4,4.229616200473174,9
AT5G19890.1,PER59,5,6724076,6725966,-,1890,protein_coding,Peroxidase 59 [Source:UniProtKB/Swiss-Prot;Acc:Q39034],6.0652784289275665,6.685998363755481,5.178435655761623,9.991352699767495,10.598490264956734,10.192722183100834,8.690596645094156e-19,9.734192458892546e-16,4.199845585595912,9
AT5G06120.4,,5,1843937,1853051,+,9114,protein_coding,ARM repeat superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4K2C1],1.1091829133441469,3.972466198631512,2.7463591325539527,5.441494121695932,7.390290199806456,7.5178466014893095,0.009824485559330173,0.10757816653218795,4.175227048189487,9
AT1G21320.2,NSRB,1,7462426,7466164,-,3738,protein_coding,Nuclear speckle RNA-binding protein B [Source:UniProtKB/Swiss-Prot;Acc:F4HWF9],1.7287776314278425,0,3.6346433676920804,6.664560225520338,5.8956199717333,6.033344299351955,2.4754147421595946e-4,0.008205191010941335,4.017164662052037,9
