ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_SynCom33_1,Flg22_SynCom33_2,Flg22_SynCom33_3,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,cl
AT1G08060.1,MOM,1,2501704,2511084,-,9380,protein_coding,ATP-dependent helicase family protein [Source:TAIR;Acc:AT1G08060],1.1091829133441469,0.9400509454986085,0,2.3623520708955166,3.1261115420229997,6.296139070394363,0.0051377615588301135,0.06986004361379419,5.456041209273522,7
AT5G50200.2,NRT3.1,5,20436275,20437726,+,1451,protein_coding,High-affinity nitrate transporter 3.1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGS5],2.1608243898719253,0.9400509454986085,0,6.96880963457595,5.34902296702491,4.550502994795874,9.590870121324661e-4,0.021556211934968404,5.450834481790074,7
AT4G28420.2,,4,14055661,14057592,+,1931,protein_coding,Probable aminotransferase TAT1 [Source:UniProtKB/Swiss-Prot;Acc:Q67Y55],2.4928626068883792,1.909115617155277,2.265079909517326,7.344660948961733,5.566349888018812,5.835010722477479,3.334298829215984e-10,1.2278441250271793e-7,4.574420940411539,7
AT1G23730.1,BCA3,1,8395509,8398387,+,2878,protein_coding,Beta carbonic anhydrase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUC2],1.7287776314278425,2.483617156311411,2.52569632892835,7.1895557765610505,5.309391951807763,4.950066456617843,1.6348768536795681e-7,2.2771378021043602e-5,4.1754846135117205,7
AT1G52000.1,JAL5,1,19333088,19336135,-,3047,protein_coding,Jacalin-related lectin 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU23],1.1091829133441469,0.9400509454986085,0,4.440314419844772,2.4376517496975074,1.9275902419719253,0.005653716872919842,NA,3.788890966404576,7
AT3G53280.1,CYP71B5,3,19755689,19757613,+,1924,protein_coding,Cytochrome P450 71B5 [Source:UniProtKB/Swiss-Prot;Acc:O65784],3.895962952520956,2.89339559201044,3.5196335731144552,8.381118621192982,4.722529088400949,5.991566408018347,1.9052389336643577e-6,1.6959150004889159e-4,3.7794824455947627,7
AT5G04120.1,IPSP,5,1119937,1121813,+,1876,protein_coding,Metal-independent phosphoserine phosphatase [Source:UniProtKB/Swiss-Prot;Acc:F4KI56],7.066971231945396,6.370775325014108,6.119409879444364,11.150995240773197,6.828436053282863,8.716627913738625,1.87485484055519e-5,0.001079225863464767,3.308492092447979,7
AT2G41240.2,BHLH100,2,17198282,17199320,-,1038,protein_coding,BHLH100 [Source:UniProtKB/TrEMBL;Acc:A0A384LFW4],0,5.010433604218114,2.265079909517326,8.2150899254841665,4.222678460809748,3.495955933753128,NA,NA,3.201993533962362,7
AT5G45950.1,,5,18634041,18636720,+,2679,protein_coding,GDSL esterase/lipase At5g45950 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ41],1.7287776314278425,1.909115617155277,0,3.0441562902820305,4.458353262249909,3.9089053425103435,0.0036323160721651176,0.05591385719451871,3.070151051661312,7
AT2G30670.1,,2,13069091,13070920,-,1829,protein_coding,Tropinone reductase homolog At2g30670 [Source:UniProtKB/Swiss-Prot;Acc:O49332],4.448254655523664,4.582850997235592,2.52569632892835,7.811678601663279,6.071760097604484,6.395594856835363,3.2028006453604097e-6,2.6011385785069046e-4,2.9461250561075984,7
