ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,cl
AT1G17615.1,,1,6059389,6060851,+,1462,protein_coding,Disease resistance protein (TIR-NBS class) [Source:UniProtKB/TrEMBL;Acc:Q4PT31],1.7287776314278425,0,1.9467712125878611,3.249609563511568,2.0184160092887753,0.9774872469461264,0.23298119795559818,0.7093339115405771,1.2915362744380523,1
AT4G33720.1,,4,16182743,16183619,+,876,protein_coding,AT4g33720/T16L1_210 [Source:UniProtKB/TrEMBL;Acc:O81888],4.593633859566178,5.901835762364154,4.516592614106659,6.732332255308047,6.23362781211165,5.65594366969121,0.03976276009460591,0.33517745200421484,1.1346228986240265,1
AT1G53940.2,GLIP2,1,20143144,20144974,+,1830,protein_coding,GDSL esterase/lipase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SYF0],7.584539159597012,6.386701273830907,6.499208812245369,8.560773809246518,8.233874089385372,6.897506897527924,0.018227051123071904,0.21707394940831934,1.1330164046854139,1
AT2G34150.3,SCAR1,2,14419293,14422479,-,3186,protein_coding,Protein SCAR1 [Source:UniProtKB/Swiss-Prot;Acc:Q6AWX6],0,4.275895027664374,5.684825420083234,5.37252181166025,6.153438697721204,5.24120149533435,0.20114551796354677,0.6751763147713142,1.0916078002326204,1
AT5G52970.1,,5,21479382,21481256,+,1874,protein_coding,"Thylakoid lumenal 15.0 kDa protein 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LVV5]",2.160824389871925,3.212159022053945,4.102569480200593,2.067520312751234,2.341563519858522,2.9603690990350424,0.17321150117694817,0.6435894971093695,-1.001252942318811,1
AT4G00695.1,,4,283918,285142,+,1224,protein_coding,Spc97/Spc98 family of spindle pole body (SBP) component [Source:UniProtKB/TrEMBL;Acc:F4JHF7],3.358659966202284,3.0615633034164684,3.106619824651407,2.393839362068125,0,3.1296561776994576,0.2921703115207111,0.7646527988982244,-1.0017767168470937,1
AT1G44050.1,,1,16739192,16741652,+,2460,protein_coding,Cysteine/Histidine-rich C1 domain family protein [Source:UniProtKB/TrEMBL;Acc:Q9LNZ0],8.693949186982154,7.790922118781439,8.147996916706603,7.364908028352845,7.475575078268928,6.87386182332812,0.004658818862123272,0.0951152880079701,-1.0022879896627817,1
AT5G40510.1,,5,16229183,16231142,+,1959,protein_coding,Sucrase/ferredoxin-like family protein [Source:TAIR;Acc:AT5G40510],11.825788381892028,10.655652322546393,10.967536517631569,10.531187073160567,10.28892565416543,9.789139159941096,0.002910038922148282,0.06930053875502186,-1.0033109466201082,1
AT1G64690.1,BLT,1,24037609,24039177,+,1568,protein_coding,branchless trichome [Source:TAIR;Acc:AT1G64690],3.3586599662022834,2.2247762417604093,2.265079909517326,2.3938393620681246,2.341563519858522,0,0.405489268356115,NA,-1.0059022476412234,1
AT1G54217.2,,1,20243931,20245404,-,1473,protein_coding,Ribosomal protein L18ae family [Source:UniProtKB/TrEMBL;Acc:F4HV88],6.778471817555924,5.687138515529222,6.304503994897413,5.920711995385513,4.881645768912465,4.956057636196898,0.028668966295577032,0.28029543277675684,-1.006009010528197,1
AT4G01650.1,,4,704377,706077,-,1700,protein_coding,Polyketide cyclase / dehydrase and lipid transport protein [Source:UniProtKB/TrEMBL;Acc:Q9M120],4.903561770334352,4.054512659874297,2.7463591325539527,3.8904962284416307,3.6074392270915814,0,0.3320347874774581,0.7934100549978528,-1.0061479924503196,1
AT2G47530.1,,2,19504171,19505048,+,877,protein_coding,Pollen Ole e 1 allergen and extensin family protein [Source:UniProtKB/TrEMBL;Acc:O22258],8.328916847892705,7.182092077529218,7.412807469711647,6.717823929571441,6.966819771001493,6.446982882839151,0.001999064822519183,0.05452366576785281,-1.0083020571017955,1
AT1G75150.1,,1,28204387,28208590,-,4203,protein_coding,unknown protein; Has 38228 Blast hits to 24529 proteins in 1168 species: Archae - 169; Bacteria - 4103; Metazoa - 14594; Fungi - 5866; Plants - 1861; Viruses - 317; Other Eukaryotes - 11318 (source: NCBI BLink). [Source:TAIR;Acc:AT1G75150],6.716320019090966,7.5434679637232565,6.799573079657578,5.97051660495505,5.608959054134375,6.494272078757763,0.019194693654884513,0.22433580043286924,-1.0106180430595364,1
AT3G09660.3,MCM8,3,2961233,2966231,-,4998,protein_coding,Probable DNA helicase MCM8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SF37],5.334352598875735,5.966844131094119,4.254166913077102,0,4.1105357690651685,5.447494873699927,0.33231167099192443,0.7934100549978528,-1.01118073908997,1
AT5G59950.3,,5,24140195,24141858,+,1663,protein_coding,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:UniProtKB/TrEMBL;Acc:F4JXE3],8.944930461587667,8.74814026253983,8.622246524223483,2.884268112884322,8.49203972280004,8.16422672691636,0.19904158394441726,0.6722611157739811,-1.0120654154285245,1
AT4G37420.1,,4,17592996,17595148,+,2152,protein_coding,Glycosyltransferase family protein (DUF23) [Source:UniProtKB/TrEMBL;Acc:Q9SZU2],3.895962952520956,2.483617156311411,2.9377056350499657,2.3938393620681246,3.1917257348581187,0,0.2421458363976832,0.7206379227199402,-1.0123589415321244,1
AT1G67420.2,,1,25255164,25260590,+,5426,protein_coding,Zn-dependent exopeptidases superfamily protein [Source:TAIR;Acc:AT1G67420],4.522774701274072,6.685998363755482,6.60172568344223,5.444780118775207,4.022983513303598,5.710358636101321,0.12890576541982732,0.5724439093406986,-1.0141608215729878,1
AT4G39650.1,GGT2,4,18403560,18406025,+,2465,protein_coding,Glutathione hydrolase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q680I5],2.160824389871925,0.9400509454986085,1.5377459377206828,1.0453628119256622,1.0123034224110756,0.9774872469461264,0.4603572317817749,NA,-1.0144591574886588,1
AT2G27930.1,,2,11892058,11893787,+,1729,protein_coding,PLATZ transcription factor family protein [Source:TAIR;Acc:AT2G27930],2.7625979464845534,5.901835762364154,4.885138867599047,3.402581380531236,5.233299377002432,0,0.35332933825534457,0.8091018127467877,-1.0162368885441304,1
AT4G15740.1,,4,8964683,8966351,-,1668,protein_coding,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:UniProtKB/TrEMBL;Acc:O23425],8.434026995392927,7.329443878213663,7.835778354676771,7.099898180035599,6.966819771001493,6.669302147789324,0.0023226290337111798,0.059603548099437825,-1.0182077285341213,1
AT5G61440.1,ACHT5,5,24707445,24709396,+,1951,protein_coding,"Thioredoxin-like 1-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XFI1]",8.615244172667719,7.814662063619359,9.622158109073183,8.116916683806403,7.540069874525745,7.849629077296477,0.023776129133203212,0.25207916470482783,-1.020516160272939,1
AT3G22450.1,,3,7962307,7963516,+,1209,protein_coding,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9LJA1],4.003966155346152,3.473079788099641,3.5196335731144557,2.884268112884322,3.6074392270915814,0,0.4206636423777777,0.847465681366913,-1.020753915548934,1
AT3G45430.1,LECRK15,3,16660575,16662874,-,2299,protein_coding,Probable L-type lectin-domain containing receptor kinase I.5 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1G4],5.061886852403118,5.687138515529222,5.602442937139302,5.216148327730948,0,4.8630441822061155,0.19980177377663483,0.6734642783143259,-1.0240828344209942,1
AT1G23760.1,PGL1,1,8401808,8404301,+,2493,protein_coding,Polygalacturonase 1 beta-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:P92982],7.618918471447587,7.778904028156434,8.498630996142026,6.869914581040088,6.653613992897969,7.37273971597598,0.007493387311218507,0.12840059473663265,-1.0267171325495357,1
AT4G38470.2,STY46,4,17999082,18003744,+,4662,protein_coding,Serine/threonine-protein kinase STY46 [Source:UniProtKB/Swiss-Prot;Acc:F4JTP5],7.275306667474368,7.723548195298986,9.620414777659107,7.823645488248902,7.068712854596597,7.6895436672629005,0.0675572784659259,0.4329322642665409,-1.0284198865673788,1
AT3G63240.2,IP5P4,3,23363872,23367592,-,3720,protein_coding,Type I inositol polyphosphate 5-phosphatase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8GTS0],4.958290224869543,0,4.686179335206145,3.249609563511568,4.2711510215942194,0,0.4545416069160385,0.8634684115895739,-1.030254135072752,1
