ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,cl
AT4G15360.1,CYP705A3,4,8770180,8771960,+,1780,protein_coding,Cytochrome P450 like protein [Source:UniProtKB/TrEMBL;Acc:O23389],2.160824389871925,1.909115617155277,2.265079909517326,6.64300958558754,6.499963224319001,6.613285496906763,3.730268432418159e-15,4.179541962418602e-12,4.834434655557745,9
AT4G15370.2,BARS1,4,8773786,8779685,-,5899,protein_coding,Baruol synthase [Source:UniProtKB/Swiss-Prot;Acc:O23390],1.7287776314278425,2.70300674632173,0,6.297624831679357,6.046496788340029,6.2220027799694115,8.366680042764394e-4,0.030007563979241158,4.7825955039733525,9
AT1G12030.1,,1,4064485,4066344,-,1859,protein_coding,At1g12030 [Source:UniProtKB/TrEMBL;Acc:O65376],1.7287776314278425,2.483617156311411,0.9647332386523769,5.815627603200257,6.194090325737082,5.510187062430714,8.215485504431459e-4,0.029808803687128186,4.446591705241732,9
AT3G49110.1,PER33,3,18200587,18203265,+,2678,protein_coding,Peroxidase 33 [Source:UniProtKB/Swiss-Prot;Acc:P24101],2.762597946484554,1.909115617155277,1.9467712125878613,6.688362097817414,5.7519647753234375,6.3814183587694115,3.4342234027641796e-6,4.7154917517072274e-4,4.399330399534708,9
AT5G19890.1,PER59,5,6724076,6725966,-,1890,protein_coding,Peroxidase 59 [Source:UniProtKB/Swiss-Prot;Acc:Q39034],6.0652784289275665,6.685998363755481,5.178435655761623,10.820610720526137,10.827005568368286,8.929123858273929,6.140782712950555e-20,1.4334122047704833e-16,4.337408236866926,9
AT2G41240.1,BHLH100,2,17198037,17199454,-,1417,protein_coding,BHLH100 [Source:UniProtKB/TrEMBL;Acc:A0A384LFW4],4.725695124933475,6.736585105171401,0,8.651355870213603,10.35540082155323,8.466496573684193,0.012421817433868231,0.17581987273374586,3.9751248835135575,9
AT1G50050.2,,1,18546086,18547151,+,1065,protein_coding,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4I4X9]",1.1091829133441469,1.909115617155277,0,4.993342602511762,3.929772765766327,3.6585994201632306,9.334586057046575e-5,0.006066614618188669,3.83244551236581,9
AT1G70620.2,,1,26626634,26631104,+,4470,protein_coding,Cyclin-like protein [Source:UniProtKB/TrEMBL;Acc:F4I6U7],4.369674741505485,0,2.265079909517326,6.788949123499838,5.805420709059077,6.627494882314776,0.005559587078365759,0.10659109764004329,3.499814451892212,9
AT2G02010.1,GAD4,2,474108,476650,-,2542,protein_coding,glutamate decarboxylase 4 [Source:TAIR;Acc:AT2G02010],6.4935680048919755,5.810334082645925,5.178435655761623,9.589068874671147,9.366540038449305,9.096806268384414,5.041371321933282e-18,9.414256806578212e-15,3.4667725760902472,9
AT1G14550.1,PER5,1,4978922,4980466,+,1544,protein_coding,Peroxidase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9Q9],7.701444740318506,6.049201972030239,7.223669738778564,10.748393037107459,10.559761811466112,10.207320835775453,7.38893469819738e-21,2.299682775902298e-17,3.393097138390677,9
