ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,cl
AT1G49730.5,,1,18403433,18405675,-,2242,protein_coding,Protein kinase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4I3D1],2.989757764903248,0,3.6346433676920804,2.067520312751234,2.0184160092887753,1.966097746181624,0.5280217472610016,NA,-1.002593917399243,8
AT5G43300.1,GDPD3,5,17376619,17379282,-,2663,protein_coding,Glycerophosphodiester phosphodiesterase GDPD3 [Source:UniProtKB/Swiss-Prot;Acc:Q680A6],2.160824389871925,1.5044637728747368,1.9467712125878611,0,2.0184160092887753,0.9774872469461264,0.4513813616246614,NA,-1.0033089193839284,8
AT2G26350.4,PEX10,2,11217439,11220541,-,3102,protein_coding,PEX10 [Source:UniProtKB/TrEMBL;Acc:A0A178VWJ2],4.1983774833946415,3.972466198631512,4.631835645891566,3.667067653192371,3.8301212627596493,1.9660977461816243,0.4491071907200141,0.8612020404383707,-1.0066909538277213,8
AT4G23010.2,UTR2,4,12060131,12062757,-,2626,protein_coding,UDP-galactose transporter 2 [Source:TAIR;Acc:AT4G23010],5.414826829134901,0,5.4220618989409815,4.40693260506076,4.482829643422321,0,0.6265740066892374,0.9230548280936273,-1.0067209114390698,8
AT5G19970.2,,5,6746863,6748788,+,1925,protein_coding,unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink). [Source:TAIR;Acc:AT5G19970],6.0145313653171035,6.218929905406129,5.484728497075132,0,5.271790812739634,5.736815333422302,0.48652108940631456,0.8752403418423143,-1.0070190289080154,8
AT2G29200.1,APUM1,2,12548931,12553623,-,4692,protein_coding,Pumilio homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW07],6.273841602324848,6.433450690073371,7.128753047541152,4.893600232609696,6.578833168325265,4.763618158442554,0.13404489572160588,0.5817981369958057,-1.0093643706444038,8
AT1G23340.1,,1,8283896,8286969,-,3073,protein_coding,At1g23340 [Source:UniProtKB/TrEMBL;Acc:Q8GY67],6.417483066118173,6.370775325014108,6.079360671941228,5.788115396637925,5.068160498838071,4.9103003749938665,0.0014585435891286088,0.0438471778430242,-1.0101534085014001,8
AT5G55340.1,AT5,5,22439714,22441115,-,1401,protein_coding,Probable long-chain-alcohol O-fatty-acyltransferase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJ76],3.895962952520956,2.2247762417604093,3.6346433676920804,2.6597936638251216,2.341563519858522,2.5472436773954037,0.18595497744632167,0.6610972043722447,-1.0118494913768954,8
AT3G46613.1,RTFL4,3,17165791,17166399,+,608,protein_coding,DVL15 [Source:UniProtKB/TrEMBL;Acc:Q6IM86],1.7287776314278425,0,1.5377459377206828,1.0453628119256622,1.0123034224110756,0,0.6102952702007118,NA,-1.0120504792184533,8
AT1G47530.2,DTX33,1,17451582,17454421,+,2839,protein_coding,Protein DETOXIFICATION 33 [Source:UniProtKB/Swiss-Prot;Acc:Q9SX83],4.846675056471126,5.010433604218114,4.885138867599047,0,3.6074392270915814,5.04343581002918,0.31534242397248125,0.7805837759019768,-1.015937732779512,8
